x1,x2,x3,x4,x5,x6,x7,x8,x9
16,16,13,18,16,17,15,16,16
18,19,15,16,18,18,18,17,19
17,17,17,14,17,18,16,16,16
17,17,17,16,19,18,19,20,19
16,15,16,16,18,18,15,16,16
20,17,16,17,18,18,17,19,18
18,16,16,20,15,16,19,14,17
20,18,18,17,18,19,18,19,18
14,16,15,19,19,19,18,19,14
19,19,20,14,18,20,19,17,20
19,19,14,14,16,17,16,17,18
15,15,18,16,18,18,19,17,18
16,17,15,17,15,18,16,14,13
17,14,12,14,14,18,15,15,13
14,16,14,15,16,16,17,16,17
10,11,13,18,17,20,17,16,20
16,17,15,16,14,16,14,15,17
15,16,15,17,16,16,16,15,16
16,19,18,15,17,12,19,18,18
16,16,13,18,16,17,15,16,16
